,City,Id,country,lat,lng,Cloudiness,humidity,temperature,wind_speed
36,Luocheng,1801983,CN,29.3848,104.0286,0,95,64.71,0.85
37,Grindavik,3416888,IS,63.8424,-22.4338,90,93,50.47,26.46
38,Vaini,4032243,TO,-21.2,-175.2,20,73,77.16,12.66
39,Lichuan,1803782,CN,30.3,108.85,31,96,56.89,1.63
40,Homer,5864145,US,59.6425,-151.5483,1,58,55.04,4.61
41,Airai,1651810,TL,-8.9266,125.4092,32,38,65.43,4.56
42,Cururupu,3401148,BR,-1.8283,-44.8683,92,87,75.56,4.05
43,Falmouth,2649715,GB,50.1544,-5.0711,20,95,54.01,1.99
44,Chui,3443061,UY,-33.6971,-53.4616,100,98,61.57,8.52
45,Ushuaia,3833367,AR,-54.8,-68.3,40,81,42.46,3.44
46,Mayo,4362001,US,38.8876,-76.5119,1,61,75,7
47,Atuona,4020109,PF,-9.8,-139.0333,33,77,78.31,21.56
48,Darnah,87205,LY,32.767,22.6367,0,55,78.89,4.25
49,Mar del Plata,3430863,AR,-38.0023,-57.5575,90,94,57.22,10.36
50,Jamestown,5122534,US,42.097,-79.2353,1,49,71.91,4.61
51,Cockburn Town,3576994,TC,21.4612,-71.1419,40,70,84.16,10.36
52,Sasayama,1852901,JP,35.0667,135.2167,64,79,72.91,0.89
53,Norfolk,4945455,US,42.1668,-71.2495,6,79,63.99,4.18
54,Bambous Virieux,1106677,MU,-20.3428,57.7575,40,56,70.05,6.91
55,San Cristobal,3628473,VE,7.7669,-72.225,56,96,77.18,2.89
56,Avarua,4035715,CK,-21.2078,-159.775,40,69,80.65,12.66
57,Omsukchan,2122493,RU,62.5333,155.8,100,92,40.48,3.42
58,Shepsi,494846,RU,44.0361,39.1489,87,84,67.66,12.15
59,Saskylakh,2017155,RU,71.9167,114.0833,100,93,28.35,4.94
60,Bushehr,139817,IR,28.9684,50.8385,0,61,89.6,12.24
61,São João da Barra,3448903,BR,-21.6403,-41.0511,9,88,73.94,8.75
62,Pevek,2122090,RU,69.7008,170.3133,93,74,30.76,6.71
63,George Town,1735106,MY,5.4112,100.3354,40,93,76.91,3.44
64,Leningradskiy,2123814,RU,69.3833,178.4167,93,83,28.65,21.18
65,Dikson,1507390,RU,73.5069,80.5464,100,77,35.2,18.52
66,Rikitea,4030556,PF,-23.1203,-134.9692,4,76,73.96,11.83
